"rt","f","type"
10.0170001387596,4,"msms"
10.0719997286797,5,"msms"
10.2730000019073,1,"ms"
10.3279995918274,2,"msms"
10.38399964571,3,"msms"
10.4390001296997,4,"msms"
10.4939997196198,5,"msms"
10.6949999928474,1,"ms"
10.75100004673,2,"msms"
10.8059996366501,3,"msms"
10.8610001206398,4,"msms"
10.9170001745224,5,"msms"
11.1169999837875,1,"ms"
11.1719995737076,2,"msms"
11.2279996275902,3,"msms"
11.2830001115799,4,"msms"
11.3379997014999,5,"msms"
11.5389999747276,1,"ms"
11.5939995646477,2,"msms"
11.6499996185303,3,"msms"
11.70500010252,4,"msms"
11.7610001564026,5,"msms"
11.9609999656677,1,"ms"
12.0159995555878,2,"msms"
12.0719996094704,3,"msms"
12.1270000934601,4,"msms"
12.1819996833801,5,"msms"
12.3829999566078,1,"ms"
12.4380004405975,2,"msms"
12.4939996004105,3,"msms"
12.5490000844002,4,"msms"
12.6050001382828,5,"msms"
12.8049999475479,1,"ms"
12.8600004315376,2,"msms"
12.9159995913506,3,"msms"
12.9710000753403,4,"msms"
13.0270001292229,5,"msms"
13.226999938488,1,"ms"
13.2820004224777,2,"msms"
13.3379995822906,3,"msms"
13.3930000662804,4,"msms"
13.4479996562004,5,"msms"
13.6480003595352,1,"ms"
13.7040004134178,2,"msms"
13.7590000033379,3,"msms"
13.8150000572205,4,"msms"
13.8699996471405,5,"msms"
14.0700003504753,1,"ms"
14.1260004043579,2,"msms"
14.180999994278,3,"msms"
14.2370000481606,4,"msms"
14.2919996380806,5,"msms"
14.4929999113083,1,"ms"
14.548000395298,2,"msms"
14.6039995551109,3,"msms"
14.6590000391006,4,"msms"
14.7150000929832,5,"msms"
14.9149999022484,1,"ms"
14.9700003862381,2,"msms"
15.025999546051,3,"msms"
15.0809991359711,4,"msms"
15.1360005140305,5,"msms"
15.3369998931885,1,"ms"
15.3919994831085,2,"msms"
15.4470008611679,3,"msms"
15.5030000209808,4,"msms"
15.5589991807938,5,"msms"
15.7590007781982,1,"ms"
15.8140003681183,2,"msms"
15.8699995279312,3,"msms"
15.9249991178513,4,"msms"
15.9810000658035,5,"msms"
16.1809998750687,1,"ms"
16.2359994649887,2,"msms"
16.2910008430481,3,"msms"
16.347000002861,4,"msms"
16.4019995927811,5,"msms"
16.6030007600784,1,"ms"
16.6580003499985,2,"msms"
16.7129999399185,3,"msms"
16.7690008878708,4,"msms"
16.8240004777908,5,"msms"
17.024000287056,1,"ms"
17.0799994468689,2,"msms"
17.1350008249283,3,"msms"
17.1900004148483,4,"msms"
17.2450000047684,5,"msms"
17.4459993839264,1,"ms"
17.5010007619858,2,"msms"
17.5560003519058,3,"msms"
17.6119995117188,4,"msms"
17.6670008897781,5,"msms"
17.8680002689362,1,"ms"
17.9229998588562,2,"msms"
17.9779994487762,3,"msms"
18.0330008268356,4,"msms"
18.0880004167557,5,"msms"
18.2889997959137,1,"ms"
18.3439993858337,2,"msms"
18.400000333786,3,"msms"
18.4549999237061,4,"msms"
18.5099995136261,5,"msms"
18.7110006809235,1,"ms"
18.7660002708435,2,"msms"
18.8209998607635,3,"msms"
18.8759994506836,4,"msms"
18.9320003986359,5,"msms"
19.132000207901,1,"ms"
19.186999797821,2,"msms"
19.2430007457733,3,"msms"
19.2980003356934,4,"msms"
19.3539994955063,5,"msms"
19.5539993047714,1,"ms"
19.6100002527237,2,"msms"
19.6649998426437,3,"msms"
19.7199994325638,4,"msms"
19.7760003805161,5,"msms"
19.9760001897812,1,"ms"
20.0309997797012,2,"msms"
20.0859993696213,3,"msms"
20.1420003175735,4,"msms"
20.1969999074936,5,"msms"
20.3979992866516,1,"ms"
20.453000664711,2,"msms"
20.508000254631,3,"msms"
20.5629998445511,4,"msms"
20.6190007925034,5,"msms"
20.8190006017685,1,"ms"
20.8740001916885,2,"msms"
20.9299993515015,3,"msms"
20.9850007295609,4,"msms"
21.0400003194809,5,"msms"
21.2409996986389,1,"ms"
21.295999288559,2,"msms"
21.3510006666183,3,"msms"
21.4069998264313,4,"msms"
21.4619994163513,5,"msms"
21.6619992256165,1,"ms"
21.7180001735687,2,"msms"
21.7729997634888,3,"msms"
21.8279993534088,4,"msms"
21.8840003013611,5,"msms"
22.0840001106262,1,"ms"
22.1389997005463,2,"msms"
22.1950006484985,3,"msms"
22.2500002384186,4,"msms"
22.3049998283386,5,"msms"
22.5059992074966,1,"ms"
22.561000585556,2,"msms"
22.6160001754761,3,"msms"
22.671999335289,4,"msms"
22.7270007133484,5,"msms"
22.9280000925064,6,"lm"
23.1279999017715,1,"ms"
23.1829994916916,2,"msms"
23.2390004396439,3,"msms"
23.2940000295639,4,"msms"
23.3489996194839,5,"msms"
23.5500007867813,1,"ms"
23.6050003767014,2,"msms"
23.6609995365143,3,"msms"
23.7159991264343,4,"msms"
23.7710005044937,5,"msms"
23.9719998836517,1,"ms"
24.0269994735718,2,"msms"
