"","MS1_MASS_DAC_SETTING","LM_RESOLUTION_SETTING","SOURCE_BIAS_SETTING","SAMPLE_CONE_VOLTAGE_SETTING","targetMass","targetTime"
"9846",4710.7045,NA,-120,-30,283.3506,836.462001800537
"9847",1737.622,NA,-80,-30,104.5186,836.518020629883
"9848",2197.24,NA,-120,-30,132.1648,836.573009490967
"9849",1856.4719,NA,-60,-30,111.6675,836.627998352051
"9850",NA,NA,NA,-30,NA,836.829013824463
"9851",5307.4754,NA,-120,-30,319.2466,836.884002685547
"9852",2484.8091,NA,-60,-30,149.4622,836.938991546631
"9853",1997.3322,NA,-100,-30,120.1403,836.995010375977
"9854",3171.7015,NA,-120,-30,190.779,837.049999237061
"9855",NA,NA,NA,-30,NA,837.249984741211
"9856",2192.7712,NA,-100,-30,131.896,837.304973602295
"9857",2192.5008,NA,-60,-30,131.8797,837.360992431641
"9858",4714.8323,NA,-120,-30,283.5989,837.415981292725
"9859",2795.2973,NA,-120,-30,168.1382,837.471027374268
"9860",NA,NA,NA,-30,NA,837.671985626221
"9861",5135.4,NA,-80,-30,308.8962,837.726974487305
"9862",4640.8524,NA,-100,-30,279.149,837.782020568848
"9863",5053.5414,NA,-60,-30,303.9724,837.837982177734
"9864",7301.2537,NA,-60,-30,439.1732,837.893028259277
"9865",NA,NA,NA,-30,NA,838.09398651123
"9866",4640.8524,NA,-60,-30,279.149,838.148975372314
"9867",5135.4,NA,-60,-30,308.8962,838.204021453857
"9868",5152.0696,NA,-60,-30,309.8989,838.259983062744
"9869",2795.2973,NA,-80,-30,168.1382,838.314971923828
"9870",NA,NA,NA,-30,NA,838.515014648438
"9871",2207.5695,NA,-100,-30,132.7861,838.570976257324
"9872",2204.6813,NA,-120,-30,132.6124,838.626022338867
"9873",4870.2001,NA,-60,-30,292.9444,838.681011199951
"9874",1932.1773,NA,-100,-30,116.2212,838.736000061035
"9875",NA,NA,NA,-30,NA,838.937015533447
"9876",3921.8374,NA,-80,-30,235.9,838.992004394531
"9877",8963.3955,NA,-80,-30,539.1516,839.048023223877
"9878",2458.3729,NA,-60,-30,147.8721,839.103012084961
"9879",5371.1119,NA,-60,-30,323.0744,839.158000946045
"9880",NA,NA,NA,-30,NA,839.359016418457
"9881",2234.4456,NA,-80,-30,134.4027,839.414005279541
"9882",2234.4456,NA,-80,-30,134.4027,839.468994140625
"9883",1891.4499,NA,-100,-30,113.7714,839.523983001709
"9884",5371.1119,NA,-60,-30,323.0744,839.580001831055
"9885",NA,NA,NA,-30,NA,839.779987335205
"9886",1955.7696,NA,-100,-30,117.6403,839.836006164551
"9887",2458.3729,NA,-100,-30,147.8721,839.890995025635
"9888",10555.3519,NA,-60,-30,634.9084,839.945983886719
"9889",5925.916,NA,-80,-30,356.4461,840.002002716064
"9890",NA,NA,NA,-30,NA,840.201988220215
"9891",2746.3749,NA,-60,-30,165.1955,840.256977081299
"9892",2976.5381,NA,-60,-30,179.0399,840.312023162842
"9893",10881.72,NA,-80,-30,654.5396,840.367984771729
"9894",2660.6793,NA,-60,-30,160.0409,840.422973632812
"9895",NA,NA,NA,-30,NA,840.623016357422
"9896",4747.8028,NA,-60,-30,285.5821,840.678977966309
"9897",4000.2795,NA,-80,-30,240.6183,840.734024047852
"9898",5500.3159,NA,-120,-30,330.8461,840.789985656738
"9899",2484.8091,NA,-120,-30,149.4622,840.844974517822
"9900",NA,NA,NA,-30,NA,841.045017242432
"9901",5500.3159,NA,-60,-30,330.8461,841.100978851318
"9902",4000.2795,NA,-80,-30,240.6183,841.156024932861
"9903",4747.8028,NA,-100,-30,285.5821,841.211986541748
