"mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","peak_mzmin","peak_mzmax","peak_rtmin","peak_rtmax"
96.0443464887595,96.0443082108322,96.0807380495355,403.129,325.068,570.733,111,96.0442504882812,96.0808258056641,295.521,612.337
96.9572894494352,96.9276545524031,97.0396343393201,867.8615,712.605,1012.69,142,96.9275894165039,97.039680480957,702.315,1029.47
97.0396287787669,97.0283032142764,97.041436692827,419.737,240.442,490.863,55,97.0282211303711,97.0415115356445,227.631,497.753
97.0284110955855,97.0283372923432,97.0396445666163,564.65,501.473,626.313,33,97.028205871582,97.0397033691406,489.622,651.666
97.047747116566,97.0476877916128,97.0760772217918,385.44,307.111,542.214,111,97.047607421875,97.0761260986328,284.82,548.591
98.0600103349127,98.0485385083512,98.0963854992604,427.633,306.067,518.065,45,98.048469543457,98.0964126586914,284.285,521.963
98.9841060755172,98.8869580572171,98.9841635720251,231.693,229.278,258.775,23,98.886848449707,98.984245300293,218.636,264.117
98.984133538484,98.9257826929461,99.0916643242267,771.291,680.148,895.799,89,98.9257507324219,99.0916900634766,676.835,898.339
99.0552110488085,98.984144303634,99.0916527922447,433.08,352.476,487.598,59,98.9841156005859,99.0916900634766,329.296,529.169
99.0440417031559,99.0439720023495,99.0633609154666,554.017,526.071,622.664,58,99.0438766479492,99.0633926391602,507.518,639.387
99.0803493741692,99.0439550943366,99.0916574602826,248.87,189.589,326.846,33,99.0438461303711,99.0917053222656,171.715,329.329
100.075639001501,100.039209453119,100.112075825345,573.685,509.475,709.01,63,100.039100646973,100.112152099609,482.491,711.492
100.075636740861,100.075592708455,100.075738813384,434.318,365.831,499.58,47,100.075546264648,100.075790405273,360.66,504.575
101.059769275438,101.059603955862,101.115438269072,802.016,706.526,826.126,47,101.059532165527,101.115539550781,700.018,834.218
102.055009155718,102.054871002672,102.091370471757,625.197,566.326,698.397,49,102.054718017578,102.091438293457,544.706,700.883
