"mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","peak_mzmin","peak_mzmax","peak_rtmin","peak_rtmax"
84.0805838536475,84.0804616189748,84.0807755179114,1082.555,975.102,1114.02,40,84.0803680419922,84.0808258056641,963.909,1135.77
85.0506808625804,85.0279972206442,85.050817831385,641.554,592.68,730.711,41,85.0278854370117,85.0508880615234,588.935,737.892
86.0599842957211,86.0599458845903,86.060016312818,763.368,739.128,810.354,30,86.059814453125,86.0600967407227,735.421,822.416
86.0600008673551,86.0599421492094,86.0964291193278,385.579,214.63,472.615,105,86.0598983764648,86.0964965820312,184.44,483.734
86.0712660752621,86.071164315965,86.0964855731617,574.245,506.871,653.318,75,86.0710601806641,86.0965347290039,500.62,667.171
87.0633536328464,87.0439889858909,87.0634602914634,446.242,420.355,523.045,58,87.0439071655273,87.0635452270508,400.409,532.38
87.055284874849,87.0439416349836,87.0997926839982,785.6,669.488,909.962,98,87.0438232421875,87.0998306274414,667.021,915.074
87.0934673549224,87.080433647786,87.1026262997998,112.0855,5.26172,253.246,292,87.0803604125977,87.1026611328125,0.0909938,264.385
89.0708845021586,89.0596625096838,89.1072711914018,1110.705,1041.73,1288.72,48,89.0596313476562,89.1073532104492,997.351,1326.22
89.0931740994193,89.0418633438955,89.1073134614121,929.3705,743.563,1022.79,68,89.0418014526367,89.1073608398438,739.654,1071.62
90.0372033539397,90.0371416824467,90.0550655228922,429.792,262.977,487.807,33,90.0370635986328,90.0551681518555,259.273,493.977
90.0549397909618,90.0548512690398,90.0549967242178,790.6495,742.65,877.34,72,90.054801940918,90.0550689697266,730.248,882.147
90.0913097494095,90.0549326911205,90.1144608336874,942.087,879.983,1010.68,47,90.0549011230469,90.1146697998047,822.092,1022.27
91.0540300757181,91.0515282855718,91.0541559596165,332.579,244.678,429.706,192,91.0513305664062,91.0542144775391,234.787,439.584
91.0582646251902,90.9765929582407,91.0583302777886,786.3165,744.803,808.413,36,90.976432800293,91.0584335327148,737.392,826.12
92.0573074183494,92.0571662048838,92.0574173236568,272.537,267.097,356.32,39,92.0570678710938,92.0574798583984,262.673,367.424
92.0705593143022,92.0705358937483,92.0705943851492,1106.25,1073.84,1121.18,33,92.0704116821289,92.0706329345703,1036.68,1184.34
92.0705560005079,92.0705384103013,92.0955591425918,965.669,932.992,990.755,36,92.0704650878906,92.0956497192383,904.026,1036.95
94.065102118855,94.0650545667242,94.0901085568722,1203.835,1099.58,1279.46,56,94.0650100708008,94.0903167724609,1095.86,1287.21
94.9295653499749,94.9043072759696,94.9296113241729,861.172,829.631,948.435,57,94.9042129516602,94.9297180175781,810.829,953.628
